id	length	protein_family	keywords
P06315	115		Adaptive immunity;Cell membrane;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin;Immunoglobulin domain;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Secreted;Signal
P06320	134		Adaptive immunity;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Receptor;Reference proteome;Signal;T cell receptor
P06321	130		Adaptive immunity;Glycoprotein;Immunity;Immunoglobulin domain;Receptor;Reference proteome;Signal;T cell receptor
P06322	134		Adaptive immunity;Glycoprotein;Immunity;Immunoglobulin domain;Receptor;Reference proteome;Signal;T cell receptor
P06323	132		3D-structure;Adaptive immunity;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Receptor;Reference proteome;Signal;T cell receptor
P06324	132		Adaptive immunity;Immunity;Immunoglobulin domain;Receptor;Reference proteome;Signal;T cell receptor
P06325	135		Adaptive immunity;Immunity;Immunoglobulin domain;Receptor;Reference proteome;Signal;T cell receptor
P06327	117		Adaptive immunity;Disulfide bond;Immunity;Immunoglobulin;Immunoglobulin domain;Reference proteome;Signal
P06328	117		3D-structure;Adaptive immunity;Disulfide bond;Immunity;Immunoglobulin;Reference proteome;Signal
P06331	123		Adaptive immunity;Cell membrane;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Secreted;Signal
P06332	457		Adaptive immunity;Alternative splicing;Cell membrane;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
P06339	357	MHC class I family	3D-structure;Disulfide bond;Glycoprotein;Immunity;Membrane;MHC I;Phosphoprotein;Reference proteome;Signal;Transmembrane;Transmembrane helix
P06340	250	MHC class II family	3D-structure;Adaptive immunity;Disulfide bond;Endosome;Glycoprotein;Immunity;Lysosome;Membrane;MHC II;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix
P06342	265	MHC class II family	Adaptive immunity;Disulfide bond;Glycoprotein;Immunity;Membrane;MHC II;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
P06343	263	MHC class II family	3D-structure;Adaptive immunity;Disulfide bond;Glycoprotein;Immunity;Membrane;MHC II;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
P06344	263	MHC class II family	3D-structure;Adaptive immunity;Disulfide bond;Glycoprotein;Immunity;Membrane;MHC II;Reference proteome;Signal;Transmembrane;Transmembrane helix
P06345	263	MHC class II family	Adaptive immunity;Disulfide bond;Glycoprotein;Immunity;Membrane;MHC II;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
P06346	252	MHC class II family	Adaptive immunity;Disulfide bond;Glycoprotein;Immunity;Membrane;MHC II;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
P06396	782	Villin/gelsolin family	3D-structure;Acetylation;Actin capping;Actin-binding;Alternative initiation;Alternative splicing;Amyloid;Amyloidosis;Calcium;Cilium biogenesis/degradation;Corneal dystrophy;Cytoplasm;Cytoskeleton;Direct protein sequencing;Disease variant;Disulfide bond;Metal-binding;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal
P06399	782		Adaptive immunity;Alternative splicing;Blood coagulation;Calcium;Coiled coil;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis;Hydroxylation;Immunity;Innate immunity;Metal-binding;Phosphoprotein;Reference proteome;Secreted;Signal
P06494	1257	Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	3D-structure;Activator;ATP-binding;Cell membrane;Cell projection;Cytoplasm;Disulfide bond;DNA-binding;Endosome;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Proto-oncogene;Receptor;Reference proteome;Signal;Transcription;Transcription regulation;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase
P06518	151		Cleavage on pair of basic residues;Neuropeptide;Reference proteome;Secreted;Signal
P06580	125	Urotensin-2 family	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hormone;Reference proteome;Secreted;Signal
P06596	146	Phospholipase A2 family	Autocatalytic cleavage;Calcium;Disulfide bond;Hydrolase;Lipid metabolism;Metal-binding;Phospholipid metabolism;Reference proteome;Secreted;Signal;Zymogen
P06607	420	AB hydrolase superfamily, Lipase family	Phosphoprotein;Reference proteome;Secreted;Signal;Sulfation
P06649	173		Reference proteome;Repeat;Signal
P06651	481	Bindin family	Cell adhesion;Cleavage on pair of basic residues;Cytoplasmic vesicle;Fertilization;Reference proteome;Signal
P06680	183		Reference proteome;Repeat;Secreted;Signal
P06681	752	Peptidase S1 family	3D-structure;Age-related macular degeneration;Alternative splicing;Complement pathway;Direct protein sequencing;Disease variant;Disulfide bond;Glycoprotein;Hydrolase;Immunity;Innate immunity;Metal-binding;Protease;Proteomics identification;Reference proteome;Repeat;Secreted;Serine protease;Signal;Sushi
P06683	548	Complement C6/C7/C8/C9 family	3D-structure;Complement alternate pathway;Complement pathway;Cytolysis;Disulfide bond;EGF-like domain;Glycoprotein;Immunity;Innate immunity;Membrane;Membrane attack complex;Reference proteome;Secreted;Signal;Target cell membrane;Target membrane;Transmembrane;Transmembrane beta strand
P06684	1680		3D-structure;Cleavage on pair of basic residues;Complement alternate pathway;Complement pathway;Cytolysis;Disulfide bond;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Membrane;Membrane attack complex;Reference proteome;Secreted;Signal;Target cell membrane;Target membrane
P06727	396	Apolipoprotein A1/A4/E family	3D-structure;Amyloidosis;Chylomicron;Disease variant;HDL;Lipid transport;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Transport
P06728	395	Apolipoprotein A1/A4/E family	Chylomicron;Direct protein sequencing;HDL;Lipid transport;Reference proteome;Repeat;Secreted;Signal;Transport
P06729	351		3D-structure;Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
P06731	702	Immunoglobulin superfamily, CEA family	3D-structure;Alternative splicing;Apoptosis;Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;GPI-anchor;Immunoglobulin domain;Lipoprotein;Membrane;Oncogene;Proteomics identification;Reference proteome;Repeat;Signal
P06740	152	IL-3 family	Cytokine;Disulfide bond;Glycoprotein;Growth factor;Secreted;Signal
P06756	1048	Integrin alpha chain family	3D-structure;Alternative splicing;Calcium;Cell adhesion;Cell junction;Cell membrane;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Glycoprotein;Host cell receptor for virus entry;Host-virus interaction;Integrin;Membrane;Metal-binding;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
P06759	101	Apolipoprotein C3 family	Chylomicron;Glycoprotein;Lipid degradation;Lipid metabolism;Lipid transport;Oxidation;Reference proteome;Secreted;Sialic acid;Signal;Transport;VLDL
P06760	648	Glycosyl hydrolase 2 family	Glycoprotein;Glycosidase;Hydrolase;Lysosome;Reference proteome;Signal
P06761	654	Heat shock protein 70 family	Acetylation;ATP-binding;Chaperone;Cytoplasm;Direct protein sequencing;Endoplasmic reticulum;Hydrolase;Isopeptide bond;Methylation;Nitration;Nucleotide-binding;Phosphoprotein;Reference proteome;Signal;Ubl conjugation
P06765	105	Intercrine alpha (chemokine CxC) family	Chemotaxis;Cytokine;Disulfide bond;Glycoprotein;Heparin-binding;Phosphoprotein;Reference proteome;Secreted;Signal
P06767	130	Tachykinin family	Alternative splicing;Amidation;Cleavage on pair of basic residues;Neuropeptide;Neurotransmitter;Reference proteome;Secreted;Signal
P06796	181	Kappa-casein family	Glycoprotein;Milk protein;Phosphoprotein;Reference proteome;Secreted;Signal
P06797	334	Peptidase C1 family	Cell membrane;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Lysosome;Membrane;Metal-binding;Protease;Reference proteome;Secreted;Signal;Thiol protease;Zinc;Zymogen
P06799	190	Type-I (or alpha/beta) interferon family	Antiviral defense;Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
P06800	1293	Protein-tyrosine phosphatase family, Receptor class 1/6 subfamily	Alternative splicing;Cell membrane;Direct protein sequencing;Glycoprotein;Hydrolase;Membrane;Phosphoprotein;Protein phosphatase;Reference proteome;Repeat;Signal;Synapse;Transmembrane;Transmembrane helix
P06833	80		Antibiotic;Antimicrobial;Calcium;Calmodulin-binding;Direct protein sequencing;Reference proteome;Signal
P06850	196	Sauvagine/corticotropin-releasing factor/urotensin I family	3D-structure;Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Hormone;Proteomics identification;Reference proteome;Secreted;Signal
P06857	467	AB hydrolase superfamily, Lipase family	3D-structure;Calcium;Direct protein sequencing;Disulfide bond;Glycoprotein;Lipid degradation;Lipid metabolism;Metal-binding;Reference proteome;Secreted;Signal
P06858	475	AB hydrolase superfamily, Lipase family	3D-structure;Calcium;Cell membrane;Chylomicron;Direct protein sequencing;Disease variant;Disulfide bond;Extracellular matrix;Glycoprotein;Heparin-binding;Hydrolase;Hyperlipidemia;Lipid degradation;Lipid metabolism;Membrane;Metal-binding;Nitration;Proteomics identification;Reference proteome;Secreted;Signal;VLDL
P06865	529	Glycosyl hydrolase 20 family	3D-structure;Alternative splicing;Direct protein sequencing;Disease variant;Disulfide bond;Gangliosidosis;Glycoprotein;Glycosidase;Hydrolase;Lipid metabolism;Lysosome;Neurodegeneration;Proteomics identification;Reference proteome;Signal;Zymogen
P06866	347	Peptidase S1 family	Acute phase;Alternative splicing;Antibiotic;Antimicrobial;Antioxidant;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemoglobin-binding;Immunity;Reference proteome;Secreted;Serine protease homolog;Signal;Sushi
P06867	809	Peptidase S1 family, Plasminogen subfamily	Blood coagulation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Fibrinolysis;Glycoprotein;Hemostasis;Hydrolase;Kringle;Phosphoprotein;Protease;Reference proteome;Repeat;Secreted;Serine protease;Signal;Tissue remodeling;Zymogen
P06868	812	Peptidase S1 family, Plasminogen subfamily	Blood coagulation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Fibrinolysis;Glycoprotein;Hemostasis;Hydrolase;Kringle;Phosphoprotein;Protease;Reference proteome;Repeat;Secreted;Serine protease;Signal;Tissue remodeling;Zymogen
P06869	433	Peptidase S1 family	3D-structure;Disulfide bond;EGF-like domain;Hydrolase;Kringle;Phosphoprotein;Plasminogen activation;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen
P06870	262	Peptidase S1 family, Kallikrein subfamily	3D-structure;Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Protease;Proteomics identification;Reference proteome;Serine protease;Signal;Zymogen
P06871	246	Peptidase S1 family	Calcium;Digestion;Disulfide bond;Hydrolase;Metal-binding;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen
P06872	247	Peptidase S1 family	Calcium;Digestion;Disulfide bond;Hydrolase;Metal-binding;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen
P06879	226	Somatotropin/prolactin family	Disulfide bond;Hormone;Lactation;Phosphoprotein;Reference proteome;Secreted;Signal
P06880	216	Somatotropin/prolactin family	Disulfide bond;Hormone;Metal-binding;Phosphoprotein;Reference proteome;Secreted;Signal;Zinc
P06881	128	Calcitonin family	3D-structure;Alternative splicing;Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hormone;Proteomics identification;Reference proteome;Secreted;Signal
P06882	2768	Type-B carboxylesterase/lipase family	Disease variant;Disulfide bond;Glycoprotein;Hormone;Iodination;Reference proteome;Repeat;Secreted;Signal;Sulfation;Thyroid hormone;Thyroid hormones biosynthesis
P06883	180	Glucagon family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Hormone;Phosphoprotein;Reference proteome;Secreted;Signal
P06907	248	Myelin P0 protein family	3D-structure;Cell membrane;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Phosphoprotein;Reference proteome;Signal;Transmembrane;Transmembrane helix
P06908	248	SFTPA family	Calcium;Collagen;Disulfide bond;Extracellular matrix;Gaseous exchange;Glycoprotein;Hydroxylation;Lectin;Metal-binding;Reference proteome;Repeat;Secreted;Signal;Surface film
P06909	1234		3D-structure;Complement alternate pathway;Disulfide bond;Glycoprotein;Immunity;Innate immunity;Phosphoprotein;Reference proteome;Repeat;Secreted;Signal;Sulfation;Sushi
P06910	177	Calycin superfamily, Lipocalin family	Disulfide bond;Olfaction;Secreted;Sensory transduction;Signal
P06911	188	Calycin superfamily, Lipocalin family	3D-structure;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal;Transport
P06912	201	Calycin superfamily, Lipocalin family	Direct protein sequencing;Disulfide bond;Methylation;Reference proteome;Retinol-binding;Secreted;Signal;Transport;Vitamin A
P06913	91	Secretoglobin family	Disulfide bond;Lipid-binding;Phospholipase A2 inhibitor;Secreted;Signal;Steroid-binding
P07064	210	Somatotropin/prolactin family	Direct protein sequencing;Disulfide bond;Hormone;Metal-binding;Secreted;Signal;Zinc
P07092	397	Serpin family	Developmental protein;Differentiation;Direct protein sequencing;Glycoprotein;Heparin-binding;Neurogenesis;Protease inhibitor;Reference proteome;Secreted;Serine protease inhibitor;Signal
P07093	398	Serpin family	3D-structure;Alternative splicing;Developmental protein;Differentiation;Direct protein sequencing;Glycoprotein;Heparin-binding;Neurogenesis;Protease inhibitor;Proteomics identification;Reference proteome;Secreted;Serine protease inhibitor;Signal
P07095	105		HDL;Lipid transport;Reference proteome;Secreted;Signal;Transport
P07096	191		HDL;Lipid transport;Reference proteome;Secreted;Signal;Transport
P07098	398	AB hydrolase superfamily, Lipase family	3D-structure;Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Lipid degradation;Lipid metabolism;Proteomics identification;Reference proteome;Secreted;Signal
P07140	649	Type-B carboxylesterase/lipase family	3D-structure;Cell membrane;Direct protein sequencing;Disulfide bond;Glycoprotein;GPI-anchor;Hydrolase;Lipoprotein;Membrane;Neurotransmitter degradation;Reference proteome;Serine esterase;Signal;Synapse
P07141	552		3D-structure;Alternative splicing;Cell membrane;Cytokine;Direct protein sequencing;Disulfide bond;Glycoprotein;Growth factor;Immunity;Inflammatory response;Innate immunity;Membrane;Proteoglycan;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix
P07146	246	Peptidase S1 family	Calcium;Digestion;Disulfide bond;Hydrolase;Metal-binding;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen
P07147	537	Tyrosinase family	3D-structure;Albinism;Copper;Disease variant;Disulfide bond;Glycoprotein;Melanin biosynthesis;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome;Signal;Transmembrane;Transmembrane helix;Zinc
P07151	119	Beta-2-microglobulin family	3D-structure;Direct protein sequencing;Disulfide bond;Immunity;Immunoglobulin domain;MHC I;Reference proteome;Secreted;Signal
P07152	476	Peptidase M10A family	Calcium;Collagen degradation;Disulfide bond;Extracellular matrix;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Repeat;Secreted;Signal;Zinc;Zymogen
P07153	605	OST1 family	Acetylation;Endoplasmic reticulum;Glycoprotein;Isopeptide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
P07154	334	Peptidase C1 family	Cell membrane;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Hydrolase;Lysosome;Membrane;Metal-binding;Protease;Reference proteome;Secreted;Signal;Thiol protease;Zinc;Zymogen
P07174	425		3D-structure;Apoptosis;Biological rhythms;Cell membrane;Cell projection;Cytoplasm;Developmental protein;Differentiation;Disulfide bond;Glycoprotein;Membrane;Neurogenesis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Synapse;Transmembrane;Transmembrane helix
P07182	284	Chorion protein S36 family	Reference proteome;Secreted;Signal
P07184	172	Chorion protein S15/S18 family	Reference proteome;Secreted;Signal
P07185	115	Chorion protein S15/S18 family	Reference proteome;Secreted;Signal
P07186	173	Chorion protein S19 family	Reference proteome;Secreted;Signal
P07187	126		Cuticle;Direct protein sequencing;Reference proteome;Signal
P07188	112		Cuticle;Direct protein sequencing;Reference proteome;Signal
P07189	112		Cuticle;Direct protein sequencing;Reference proteome;Signal
P07190	577	Glycosyl hydrolase 13 family	Glycoprotein;Glycosidase;Hydrolase;Reference proteome;Signal
P07191	567	Glycosyl hydrolase 13 family	Glycoprotein;Glycosidase;Hydrolase;Reference proteome;Signal
P07192	574	Glycosyl hydrolase 13 family	Glycoprotein;Glycosidase;Hydrolase;Reference proteome;Signal
P07198	81	Gastrin/cholecystokinin family, Magainin subfamily	Antibiotic;Antimicrobial;Cleavage on pair of basic residues;Direct protein sequencing;Reference proteome;Secreted;Signal;Vasoactive
P07200	390	TGF-beta family	3D-structure;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Extracellular matrix;Glycoprotein;Growth factor;Mitogen;Reference proteome;Secreted;Signal
P07202	933	Peroxidase family, XPO subfamily	Alternative splicing;Calcium;Congenital hypothyroidism;Disease variant;Disulfide bond;EGF-like domain;Glycoprotein;Heme;Hydrogen peroxide;Iron;Membrane;Metal-binding;Oxidoreductase;Peroxidase;Proteomics identification;Reference proteome;Signal;Sushi;Thyroid hormones biosynthesis;Transmembrane;Transmembrane helix
P07204	575		3D-structure;Blood coagulation;Direct protein sequencing;Disease variant;Disulfide bond;EGF-like domain;Glycoprotein;Hemolytic uremic syndrome;Hemostasis;Hydroxylation;Membrane;Proteoglycan;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Thrombophilia;Transmembrane;Transmembrane helix
P07207	2703	NOTCH family	3D-structure;Activator;ANK repeat;Cell membrane;Developmental protein;Differentiation;Disulfide bond;EGF-like domain;Endosome;Glycoprotein;Membrane;Neurogenesis;Notch signaling pathway;Nucleus;Oogenesis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transcription;Transcription regulation;Transmembrane;Transmembrane helix;Ubl conjugation
P07214	302	SPARC family	Basement membrane;Calcium;Copper;Direct protein sequencing;Disulfide bond;Extracellular matrix;Glycoprotein;Metal-binding;Reference proteome;Secreted;Signal
P07221	395	Calsequestrin family	3D-structure;Calcium;Direct protein sequencing;Endoplasmic reticulum;Glycoprotein;Membrane;Metal-binding;Mitochondrion;Muscle protein;Phosphoprotein;Reference proteome;Sarcoplasmic reticulum;Signal
P07223	123	Insulin family	Cleavage on pair of basic residues;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Pyrrolidone carboxylic acid;Signal
P07224	675		Blood coagulation;Calcium;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;EGF-like domain;Fibrinolysis;Gamma-carboxyglutamic acid;Glycoprotein;Hemostasis;Hydroxylation;Reference proteome;Repeat;Secreted;Signal;Zymogen
P07225	676		3D-structure;Blood coagulation;Calcium;Cleavage on pair of basic residues;Disease variant;Disulfide bond;EGF-like domain;Fibrinolysis;Gamma-carboxyglutamic acid;Glycoprotein;Hemostasis;Hydroxylation;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Thrombophilia;Zymogen
P07228	803	Integrin beta chain family	Calcium;Cell adhesion;Cell junction;Cell membrane;Cell projection;Disulfide bond;EGF-like domain;Glycoprotein;Integrin;Magnesium;Membrane;Metal-binding;Myogenesis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
P07237	508	Protein disulfide isomerase family	3D-structure;Acetylation;Cell membrane;Chaperone;Craniosynostosis;Direct protein sequencing;Disease variant;Disulfide bond;Endoplasmic reticulum;Isomerase;Membrane;Osteogenesis imperfecta;Phosphoprotein;Proteomics identification;Redox-active center;Reference proteome;Repeat;Signal
P07288	261	Peptidase S1 family, Kallikrein subfamily	3D-structure;Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Protease;Proteomics identification;Reference proteome;Secreted;Serine protease;Signal;Zymogen
P07309	147	Transthyretin family	3D-structure;Gamma-carboxyglutamic acid;Glycoprotein;Hormone;Phosphoprotein;Reference proteome;Secreted;Signal;Sulfation;Thyroid hormone;Transport
P07321	192	EPO/TPO family	Disulfide bond;Erythrocyte maturation;Glycoprotein;Hormone;Reference proteome;Secreted;Signal
P07333	972	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	3D-structure;Alternative splicing;ATP-binding;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Inflammatory response;Innate immunity;Kinase;Membrane;Neurodegeneration;Nucleotide-binding;Phosphoprotein;Proteomics identification;Proto-oncogene;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase;Ubl conjugation
P07338	263	Peptidase S1 family	3D-structure;Digestion;Disulfide bond;Hydrolase;Phosphoprotein;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen
P07339	412	Peptidase A1 family	3D-structure;Alzheimer disease;Aspartyl protease;Direct protein sequencing;Disease variant;Disulfide bond;Glycoprotein;Hydrolase;Lysosome;Neurodegeneration;Neuronal ceroid lipofuscinosis;Protease;Proteomics identification;Reference proteome;Secreted;Signal;Zymogen
P07348	189	Type-I (or alpha/beta) interferon family	Antiviral defense;Cytokine;Disulfide bond;Reference proteome;Secreted;Signal
P07349	189	Type-I (or alpha/beta) interferon family	3D-structure;Antiviral defense;Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
P07350	189	Type-I (or alpha/beta) interferon family	Antiviral defense;Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
P07351	186	Type-I (or alpha/beta) interferon family	Antiviral defense;Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
P07352	195	Type-I (or alpha/beta) interferon family	Antiviral defense;Cytokine;Disulfide bond;Reference proteome;Secreted;Signal
P07353	166	Type II (or gamma) interferon family	3D-structure;Antiviral defense;Cytokine;Glycoprotein;Growth regulation;Pyrrolidone carboxylic acid;Reference proteome;Secreted;Signal
P07357	584	Complement C6/C7/C8/C9 family	3D-structure;Cleavage on pair of basic residues;Complement alternate pathway;Complement pathway;Cytolysis;Direct protein sequencing;Disease variant;Disulfide bond;EGF-like domain;Glycoprotein;Immunity;Innate immunity;Membrane;Membrane attack complex;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Target cell membrane;Target membrane;Transmembrane;Transmembrane beta strand
P07358	591	Complement C6/C7/C8/C9 family	3D-structure;Complement alternate pathway;Complement pathway;Cytolysis;Direct protein sequencing;Disulfide bond;EGF-like domain;Glycoprotein;Immunity;Innate immunity;Membrane;Membrane attack complex;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Target cell membrane;Target membrane;Transmembrane;Transmembrane beta strand
P07359	652		3D-structure;Bernard Soulier syndrome;Blood coagulation;Cell adhesion;Direct protein sequencing;Disease variant;Disulfide bond;Glycoprotein;Hemostasis;Leucine-rich repeat;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Signal;Sulfation;Transmembrane;Transmembrane helix;von Willebrand disease
P07360	202	Calycin superfamily, Lipocalin family	3D-structure;Complement alternate pathway;Complement pathway;Cytolysis;Direct protein sequencing;Disulfide bond;Immunity;Innate immunity;Membrane;Membrane attack complex;Proteomics identification;Pyrrolidone carboxylic acid;Reference proteome;Retinol-binding;Secreted;Signal;Target cell membrane;Target membrane
P07361	207	Calycin superfamily, Lipocalin family	Acute phase;Disulfide bond;Glycoprotein;Pyrrolidone carboxylic acid;Reference proteome;Secreted;Signal;Transport
P07380	181	Calycin superfamily, Lipocalin family	Direct protein sequencing;Disulfide bond;Milk protein;Reference proteome;Retinol-binding;Secreted;Signal;Transport
P07434	165	Glycoprotein hormones subunit beta family	Disulfide bond;Glycoprotein;Hormone;Reference proteome;Secreted;Signal
P07439	162		Calcium;Direct protein sequencing;Disulfide bond;Lectin;Signal
P07455	154	Insulin family	Direct protein sequencing;Disulfide bond;Growth factor;Reference proteome;Secreted;Signal
P07456	179	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Glucose metabolism;Glycoprotein;Growth factor;Hormone;Mitogen;Osteogenesis;Reference proteome;Secreted;Signal
P07457	87	Type-III AFP family	Antifreeze protein;Direct protein sequencing;Pyrrolidone carboxylic acid;Secreted;Signal
P07466	95	Alpha-defensin family	Antibiotic;Antimicrobial;Defensin;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal
P07467	95	Alpha-defensin family	Antibiotic;Antimicrobial;Defensin;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal
P07469	93	Alpha-defensin family	Antibiotic;Antimicrobial;Defensin;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal
P07474	120	Glycoprotein hormones subunit alpha family	Direct protein sequencing;Disulfide bond;Glycoprotein;Hormone;Reference proteome;Secreted;Signal
P07477	247	Peptidase S1 family	3D-structure;Calcium;Digestion;Direct protein sequencing;Disease variant;Disulfide bond;Hydrolase;Metal-binding;Protease;Proteomics identification;Reference proteome;Secreted;Serine protease;Signal;Sulfation;Zymogen
P07478	247	Peptidase S1 family	3D-structure;Calcium;Digestion;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Protease;Proteomics identification;Reference proteome;Secreted;Serine protease;Signal;Sulfation;Zymogen
P07480	123	Galanin family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Hormone;Neuropeptide;Phosphoprotein;Reference proteome;Secreted;Signal
P07490	92	GnRH family	Amidation;Cleavage on pair of basic residues;Hormone;Pyrrolidone carboxylic acid;Reference proteome;Secreted;Signal
P07492	148	Bombesin/neuromedin-B/ranatensin family	3D-structure;Alternative splicing;Amidation;Cell projection;Cleavage on pair of basic residues;Cytoplasmic vesicle;Mast cell degranulation;Proteomics identification;Reference proteome;Secreted;Signal
P07498	182	Kappa-casein family	Direct protein sequencing;Disulfide bond;Glycoprotein;Milk protein;Phosphoprotein;Proteomics identification;Reference proteome;Secreted;Signal
P07499	149	Natriuretic peptide family	Cell projection;Disulfide bond;Hormone;Phosphoprotein;Reference proteome;Secreted;Signal;Vasoactive;Vasodilator
P07500	153	Natriuretic peptide family	Cell projection;Disulfide bond;Hormone;Phosphoprotein;Reference proteome;Secreted;Signal;Vasoactive;Vasodilator
P07501	152	Natriuretic peptide family	Cell projection;Direct protein sequencing;Disulfide bond;Hormone;Phosphoprotein;Reference proteome;Secreted;Signal;Vasoactive;Vasodilator
P07507	103	Osteocalcin/matrix Gla protein family	Chondrogenesis;Developmental protein;Differentiation;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Osteogenesis;Phosphoprotein;Reference proteome;Secreted;Signal
P07510	517	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Gamma/CHRNG sub-subfamily	Alternative splicing;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport
P07522	1133		Direct protein sequencing;Disulfide bond;EGF-like domain;Glycoprotein;Growth factor;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
P07584	251		3D-structure;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Metalloprotease;Protease;Signal;Zinc;Zymogen
