Entry	Length	Protein families	Keywords
P0DRB2	24	Sylv/frat/paul family	Amidation;Direct protein sequencing;Disulfide bond;Mast cell degranulation;Secreted;Toxin
P0DRC4	115		3D-structure;Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Metal-binding;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P0DRC5	66	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DRC6	82	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DRC7	65	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DRC8	15	Venom metalloproteinase (M12B) family, P-I subfamily	Calcium;Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Magnesium;Metal-binding;Metalloprotease;Myotoxin;Protease;Secreted;Toxin;Zinc
P0DRC9	73	Scoloptoxin-04 family	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0DRD0	84	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DRD1	89	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DRD2	82	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DRD3	71	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DRD4	61	Formicidae venom clade 2 family	Amidation;Neurotoxin;Secreted;Signal;Toxin
P0DRD5	67	Formicidae venom clade 3 family	Amidation;Neurotoxin;Secreted;Signal;Toxin
P0DRD6	57	Formicidae venom clade 4 family	Neurotoxin;Secreted;Signal;Toxin
P0DRD7	41	Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily	Direct protein sequencing;Disulfide bond;Knottin;Neurotoxin;Secreted;Toxin
P0DRD8	49	Neurotoxin 12 (Hwtx-2) family, 04 (lasiotoxin) subfamily	Direct protein sequencing;Disulfide bond;Neurotoxin;Secreted;Toxin
P0DRI6	120	Xibalbin-1 family	Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P0DRI7	87	Xibalbin-2 family	Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P0DRI8	104	Xibalbin-13 family, Double-knot toxin subfamily	3D-structure;Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Repeat;Ryanodine-sensitive calcium-release channel impairing toxin;Secreted;Signal;Toxin
P0DRI9	75	Xibalbin-13 family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P0DRJ0	105	Serine protease inhibitor-like (TIL domain-containing) family	Disulfide bond;Hemostasis impairing toxin;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Secreted;Serine protease inhibitor;Signal;Toxin
P0DRJ1	109	Serine protease inhibitor-like (TIL domain-containing) family	Antibiotic;Antimicrobial;Disulfide bond;Fungicide;Hemostasis impairing toxin;Protease inhibitor;Secreted;Serine protease inhibitor;Signal;Toxin
P0DRJ2	33	Neurotoxin 10 (Hwtx-1) family, 22 (Htx-4) subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DRJ3	28	Neurotoxin 30 (phrixotoxin) family	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DRJ5	35	Neurotoxin 10 (Hwtx-1) family, 10 (haplotoxin-1) subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DRJ7	194	Peptidase S1 family, Snake venom subfamily	Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Hypotensive agent;Protease;Secreted;Serine protease;Toxin
P0DRJ8	12	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DRJ9	10	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DRK0	10	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DRK1	11	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DRK2	12	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DRK3	31	Peptidase S1 family, Snake venom subfamily	Direct protein sequencing;Disulfide bond;Fibrinogenolytic toxin;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Hypotensive agent;Protease;Secreted;Serine protease;Toxin
P0DRK9	12		Direct protein sequencing;Hypotensive agent;Secreted;Toxin;Vasoactive
P0DRL0	20	Phospholipase A2 family, Group I subfamily	Calcium;Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Hydrolase;Hypotensive agent;Ion channel impairing toxin;Lipid degradation;Lipid metabolism;Metal-binding;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Vasoactive;Vasodilator
P0DRL1	64	Conotoxin O1 superfamily	Bromination;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DRL2	23	Conotoxin O1 superfamily	Bromination;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin
P0DRL3	23	Conotoxin O1 superfamily	Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin
P0DRL5	61	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRL6	64	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRL7	61	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRL8	60	Short scorpion toxin superfamily, Potassium channel inhibitor family	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRL9	60	Long chain scorpion toxin family, Class 2 subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRM0	64	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 11 subfamily	Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRM1	55	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 12 subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRM2	63	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 31 subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DRM3	105	Long chain scorpion toxin family, Class 3 subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
P0DSI4	56	Formicidae venom precursor-01 superfamily	Amidation;Disulfide bond;Secreted;Signal;Toxin
P0DSI5	54	Formicidae venom precursor-01 superfamily	Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P0DSI6	54	Formicidae venom precursor-01 superfamily	Disulfide bond;Secreted;Signal;Toxin
P0DSI8	30	Ponericin-G family	Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;Secreted;Toxin
P0DSI9	27	Ponericin-G family	Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;Secreted;Toxin
P0DSJ0	30	Ponericin-G family	Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;Secreted;Toxin
P0DSJ4	86	Formicidae venom precursor-01 superfamily	Amidation;Antibiotic;Antimicrobial;Cytolysis;Membrane;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P0DSJ7	64	Ant myrmeciitoxin-01 family	Disulfide bond;Secreted;Signal;Toxin
P0DSK1	46	Formicidae venom precursor-01 superfamily	Disulfide bond;Secreted;Signal;Toxin
P0DSK3	135	Formicidae venom precursor-01 superfamily	Direct protein sequencing;Glycoprotein;Membrane;Neurotoxin;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P0DSK4	100	Formicidae venom precursor-01 superfamily	Glycoprotein;Membrane;Neurotoxin;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P0DSK8	40	Ectatomin family, Ectatomin-Eq subfamily	Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSK9	37	Ectatomin family, Ectatomin-Eq subfamily	Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSL0	10		Amidation;Antimicrobial;Direct protein sequencing;Secreted;Toxin
P0DSL1	39	Ectatomin family, Ectatomin-Et subfamily	Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSL2	36	Ectatomin family, Ectatomin-Et subfamily	Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSL3	40	Ectatomin family, Ectatomin-Eq subfamily	Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSL4	80	EGF domain peptide family	3D-structure;Disulfide bond;EGF-like domain;Neurotoxin;Secreted;Signal;Toxin
P0DSL6	53		Disulfide bond;Knottin;Neurotoxin;Reference proteome;Secreted;Signal;Toxin
P0DSM2	24	Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSM3	20	Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSM4	25	Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSM5	26	Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSM9	53	Three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0DSN0	61	Three-finger toxin family, Short-chain subfamily	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P0DSN1	60	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Hemolysis;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DSO4	67	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DSO5	64	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DTB7	12	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily	Direct protein sequencing;Disulfide bond;Fibrinogenolytic toxin;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Protease;Secreted;Toxin;Zinc
P0DTB8	19	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DTJ2	121	Vasopressin/oxytocin family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Signal;Toxin
P0DTJ3	144	Vasopressin/oxytocin family	Amidation;Disulfide bond;Secreted;Signal;Toxin
P0DTJ4	70	Conotoxin M superfamily	Direct protein sequencing;Secreted;Signal;Toxin
P0DTJ5	71	Conotoxin T superfamily	Amidation;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P0DTJ6	90	Conotoxin P superfamily	Direct protein sequencing;Gamma-carboxyglutamic acid;Hydroxylation;Secreted;Signal;Toxin
P0DTJ7	68	Conotoxin L superfamily	Disulfide bond;Secreted;Signal;Toxin
P0DTJ8	79	Conotoxin U superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Signal;Toxin
P0DTJ9	78	Conotoxin H superfamily	Direct protein sequencing;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P0DTS8	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DTX2	62	Conotoxin O1 superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DTX3	64	Conotoxin O1 superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DTX4	63	Conotoxin O1 superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DTX5	55		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DTX6	74		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DTX7	76	Conotoxin O1 superfamily	Direct protein sequencing;Disulfide bond;Neurotoxin;Pharmaceutical;Secreted;Signal;Toxin
P0DTX8	82		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DTX9	54		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY0	47	Conotoxin O1 superfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DTY1	50		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY2	60	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY3	66		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY4	56	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY5	53	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY6	64		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY7	52		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY8	64		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTY9	53	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ0	63	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ1	60	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ2	60		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ3	53	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ4	51	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ5	51	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ6	57	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ7	67	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ8	52		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DTZ9	63		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUA0	66	Conotoxin O1 superfamily	Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUA1	57		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUA2	55		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUA3	56		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUA4	56		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUA5	56		Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUA6	39		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DUA7	39		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DUA8	39		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DUA9	39		Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DUB0	73		Cleavage on pair of basic residues;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P0DUC0	99	Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0DUC1	38	Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily	Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P0DUC2	38	Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily	Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P0DUC3	9	O2 superfamily, Contryphan family	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Secreted;Toxin
P0DUC4	7	O2 superfamily, Contryphan family	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Secreted;Toxin
P0DUC5	6	O2 superfamily, Contryphan family	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Secreted;Toxin
P0DUC6	8	O2 superfamily, Contryphan family	Amidation;Bromination;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin
P0DUC7	8	O2 superfamily, Contryphan family	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin
P0DUC8	7	O2 superfamily, Contryphan family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin
P0DUG4	48	Phospholipase A2 family, Group I subfamily, D49 sub-subfamily	Blood coagulation cascade inhibiting toxin;Calcium;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Metal-binding;Platelet aggregation inhibiting toxin;Secreted;Toxin
P0DUH8	85	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DUH9	83	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DUI0	81	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DUI1	84	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DUI2	87	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DUI3	83	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DUI4	62	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0DUJ3	34		3D-structure;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Toxin
P0DUJ4	28		3D-structure;Disulfide bond;G-protein coupled receptor impairing toxin;Knottin;Secreted;Toxin
P0DUJ6	103	CART family	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Fungicide;Secreted;Signal;Toxin
P0DUK7	62	Three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DUK8	38	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 03 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0DUN1	123	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Myotoxin;Secreted;Toxin
P0DUN2	123	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Myotoxin;Secreted;Toxin
P0DUN3	107	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Platelet aggregation inhibiting toxin;Secreted;Toxin
P0DUN4	92	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Platelet aggregation inhibiting toxin;Secreted;Toxin
P0DUN5	98	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Myotoxin;Neurotoxin;Presynaptic neurotoxin;Secreted;Toxin
P0DUN6	108	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DUN7	120	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DUN8	51	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DUN9	58	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DUP0	68	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DUP1	40	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DUP2	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P0DUP9	106	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Fungicide;Myotoxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0DUQ4	59	FARP (FMRFamide related peptide) family	Amidation;Cleavage on pair of basic residues;Neurotoxin;Secreted;Signal;Toxin
P0DUQ5	66	Conotoxin L superfamily	Antimicrobial;Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0DUQ6	70	Conotoxin A superfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0DUQ7	71	Conotoxin NSf-1 superfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0DUQ8	71	Conotoxin NSf-1 superfamily	Cleavage on pair of basic residues;Direct protein sequencing;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0DUQ9	9	O2 superfamily, Contryphan family	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin
P0DUR0	17	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DUR1	17	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0DUR2	17	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
